Time,Symbol,Regime,Action,Equity Allocation,Explanation,Portfolio Value
2026-02-14 22:36:01.201254,TCS.NS,High Volatility,AUTO_TRADE,0.19,"Market regime detected: High Volatility. Volatility spike detected, reducing exposure. Final equity allocation adjusted to 19%.",100000.0
2026-02-14 22:36:21.030439,INFY.NS,High Volatility,AUTO_TRADE,0.17,"Market regime detected: High Volatility. Volatility spike detected, reducing exposure. Final equity allocation adjusted to 17%.",100000.0
2026-02-14 22:54:33.920279,INFY.NS,High Volatility,AUTO_TRADE,0.17,"Market regime detected: High Volatility. Volatility spike detected, reducing exposure. Final equity allocation adjusted to 17%.",100000.0
2026-02-14 23:25:16.287462,TCS.NS,High Volatility,AUTO_TRADE,0.19,"Market regime detected: High Volatility. Volatility spike detected, reducing exposure. Final equity allocation adjusted to 19%.",100000.0
2026-02-14 23:44:26.057771,INFY.NS,High Volatility,AUTO_TRADE,0.17,"Market regime detected: High Volatility. Volatility spike detected, reducing exposure. Final equity allocation adjusted to 17%.",100000.0
2026-02-14 23:44:36.652545,INFY.NS,High Volatility,AUTO_TRADE,0.17,"Market regime detected: High Volatility. Volatility spike detected, reducing exposure. Final equity allocation adjusted to 17%.",100000.0
2026-02-14 23:44:47.295336,INFY.NS,High Volatility,AUTO_TRADE,0.17,"Market regime detected: High Volatility. Volatility spike detected, reducing exposure. Final equity allocation adjusted to 17%.",100000.0
2026-02-14 23:44:57.778861,INFY.NS,High Volatility,AUTO_TRADE,0.17,"Market regime detected: High Volatility. Volatility spike detected, reducing exposure. Final equity allocation adjusted to 17%.",100000.0
2026-02-14 23:45:08.139741,INFY.NS,High Volatility,AUTO_TRADE,0.17,"Market regime detected: High Volatility. Volatility spike detected, reducing exposure. Final equity allocation adjusted to 17%.",100000.0
2026-02-14 23:45:18.477703,INFY.NS,High Volatility,AUTO_TRADE,0.17,"Market regime detected: High Volatility. Volatility spike detected, reducing exposure. Final equity allocation adjusted to 17%.",100000.0
